sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( m/s);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
6.6576;3.9449;11.7986;1.7933;1.1853;9.5681;2.4063;1.5319;-0.0837;-0.3989;0.3533;-2.5205;-13.89;-17.2;-32.77;144.84;-5.33;-7.35;1003.24;63.072;51.891907;0.257267;145.0;NaN;82.6624;1.25;11.0;22.0;1 / 19;22012;2015-03-03 13:57:27:567
2.2087;1.1266;5.9976;2.2444;1.4166;9.4407;-0.3669;1.6514;-0.1286;-0.448;-0.4008;-0.0158;-5.63;-21.93;-32.94;178.29;-7.85;-9.43;1003.24;62.885;51.891907;0.257267;145.0;NaN;82.6624;1.25;11.0;22.0;1 / 19;22506;2015-03-03 13:57:28:061
2.6943;2.1049;10.4251;2.1822;1.5247;9.4384;-1.8737;-0.201;-0.2312;-0.2173;0.4184;-0.035;-1.41;-19.47;-35.32;201.8;-4.04;-12.52;1003.24;62.016;51.891907;0.257267;145.0;NaN;82.6624;1.25;11.0;22.0;5 / 19;23005;2015-03-03 13:57:28:560
3.5774;4.0235;8.0114;2.6901;2.9157;8.9684;-0.471;0.6445;-0.4863;0.4973;-0.8601;0.2;-2.29;-26.66;-32.08;192.2;-11.46;-11.38;1003.24;60.007;51.891907;0.257267;145.0;NaN;82.6624;1.25;11.0;22.0;5 / 19;23506;2015-03-03 13:57:29:061
3.2584;4.321;8.7326;2.9212;3.135;8.8209;-0.1045;2.6139;0.2376;-0.3124;0.3437;-1.0219;-5.1;-28.41;-30.72;204.62;-20.71;-22.12;1003.25;62.372;51.891907;0.257267;145.0;NaN;82.577736;1.25;11.0;22.0;6 / 19;24005;2015-03-03 13:57:29:560
-2.0546;1.6098;8.3994;1.4125;3.0041;9.2277;0.0831;1.3402;-0.617;0.3338;0.1728;-0.2657;5.09;-25.96;-32.08;212.61;-17.84;-8.7;1003.25;66.059;51.891907;0.257267;145.0;NaN;82.577736;1.25;11.0;22.0;6 / 19;24507;2015-03-03 13:57:30:062
0.7019;3.9711;8.9112;0.9343;3.3607;9.1653;-0.5597;1.1178;0.343;0.0177;0.0756;0.0195;7.91;-26.31;-31.4;220.06;-20.01;-7.55;1003.25;71.595;51.89199;0.256755;209.0;NaN;82.577736;1.25;28.0;122.2;11 / 19;25004;2015-03-03 13:57:30:559
3.8416;3.576;7.3592;0.8578;3.01;9.2938;-3.3325;0.6144;-0.0056;-0.1425;0.0104;1.5693;9.84;-25.08;-31.91;225.48;-21.09;-4.19;1003.25;71.108;51.89199;0.256755;209.0;NaN;82.577736;1.25;28.0;122.2;11 / 19;25505;2015-03-03 13:57:31:060
0.571;3.4903;8.9516;0.7359;2.9647;9.3188;-0.0827;0.7673;-0.5209;0.0871;0.0841;0.0227;7.38;-24.73;-32.6;214.27;-17.6;-4.52;1003.25;69.181;51.89199;0.256755;209.0;NaN;82.577736;1.25;28.0;122.2;11 / 19;26005;2015-03-03 13:57:31:560
1.3446;3.3165;9.3849;2.2265;2.5593;9.2013;3.1973;1.3722;-2.7784;-0.2002;0.9621;-0.0403;-1.94;-24.91;-33.11;191.31;-18.66;-8.03;1003.24;73.468;51.89199;0.256755;209.0;NaN;82.6624;1.25;28.0;122.2;11 / 19;26505;2015-03-03 13:57:32:060
